id,language,language_name,article_title,subdomain,question,reference_answer,source_url,model_answer,hallucinated,hallucination_score
en_gross_domestic_product_000,en,English,Gross domestic product,Macroeconomics,What is Gross domestic product?,Gross domestic product  is a monetary measure of the total market value of all of the final goods and services which are produced and rendered during a specific period of time  by a country or countries.,https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_gross_domestic_product_001,en,English,Gross domestic product,Macroeconomics,What is the role of Gross domestic product?,GDP is often used to measure the economic activity of a country or region.,https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_gross_domestic_product_002,en,English,Gross domestic product,Macroeconomics,"According to Wikipedia, what is notable about Gross domestic product?","The major components of GDP are consumption, government spending, net exports , and investment.",https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_gross_domestic_product_003,en,English,Gross domestic product,Macroeconomics,What is Gross domestic product?,Changing any of these factors can increase the size of the economy.,https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_gross_domestic_product_004,en,English,Gross domestic product,Macroeconomics,What is the role of Gross domestic product?,"For example, population growth through mass immigration can raise consumption and demand for public services, thereby contributing to GDP growth.",https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_gross_domestic_product_005,en,English,Gross domestic product,Macroeconomics,"According to Wikipedia, what is notable about Gross domestic product?","However, GDP is not a measure of overall standard of living or well-being, as it does not account for how income is distributed among the population.",https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_gross_domestic_product_006,en,English,Gross domestic product,Macroeconomics,What is Gross domestic product?,A country may rank high in GDP but still experience jobless growth depending on its planned economic structure and strategies.,https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_gross_domestic_product_007,en,English,Gross domestic product,Macroeconomics,What is the role of Gross domestic product?,Dividing total GDP by the population gives an idealized rough measure of GDP per capita.,https://en.wikipedia.org/wiki/Gross_domestic_product,,,
en_inflation_000,en,English,Inflation,Macroeconomics,What is Inflation?,"In economics, inflation is an increase in the average price of goods and services in terms of money.",https://en.wikipedia.org/wiki/Inflation,,,
en_inflation_001,en,English,Inflation,Macroeconomics,What is the role of Inflation?,"When the general price level rises, each unit of currency buys fewer goods and services; consequently, inflation corresponds to a reduction in the purchasing power of money.",https://en.wikipedia.org/wiki/Inflation,,,
